FTSE,Volatility,Original,Call Price,Rate of Interest,,,
7030.46,,,,,,,
7034.01,-0.000504691,-0.050469078,,,,,
7199.5,-0.022986318,-2.298631849,,,,,
7183.64,0.002207794,0.220779438,,,,,
7194.75,-0.001544182,-0.154418152,,,,,
7266.75,-0.009908143,-0.990814326,,,,,
7257.14,0.001324213,0.132421312,,,,,
7258.34,-0.000165327,-0.016532706,,,,,
7264.56,-0.000856212,-0.085621153,,,,,
7198.2,0.009218971,0.921897141,,,,,
7226.05,-0.003854111,-0.385411117,,,,,
7317.34,-0.012475845,-1.247584505,,,,,
7328.92,-0.001580042,-0.158004181,,,,,
7368.17,-0.005326967,-0.532696721,,,,,
7398.87,-0.004149282,-0.414928226,,,,,
7425.4,-0.003572871,-0.35728715,,,,,
7379.32,0.006244478,0.624447781,,,,,
7421.43,-0.005674109,-0.567410863,,,,,
7502.21,-0.010767494,-1.076749385,,,,,
7509.3,-0.000944163,-0.094416257,,,,,
7520.36,-0.001470674,-0.147067428,,,,,
7543.2,-0.003027893,-0.302789267,,,,,
7502.69,0.005399397,0.539939675,,,,,
7567.14,-0.008517088,-0.851708836,,,,,
7567.14,0,0,,,,,
7565.75,0.000183723,0.01837227,,,,,
7662.52,-0.012629005,-1.262900456,,,,,
7700.97,-0.004992878,-0.499287752,,,,,
7724.55,-0.003052605,-0.305260501,,,,,
7710.98,0.001759828,0.175982819,,,,,
7722.98,-0.001553804,-0.155380436,,,,,
7734.2,-0.001450699,-0.145069949,,,,,
7787.97,-0.006904238,-0.69042382,,,,,
7778.79,0.001180132,0.118013213,,,,,
7859.17,-0.010227543,-1.022754311,,,,,
7877.45,-0.002320548,-0.232054789,,,,,
7788.44,0.011428476,1.142847605,,,,,
7716.74,0.009291488,0.929148837,,,,,
7730.28,-0.001751554,-0.175155363,,,,,
7730.28,0,0,,,,,
7632.64,0.012792428,1.279242831,,,,,
7689.57,-0.007403535,-0.740353492,,,,,
7678.2,0.001480816,0.148081582,,,,,
7701.77,-0.003060335,-0.306033548,,,,,
7741.29,-0.005105092,-0.51050923,,,,,
7686.8,0.007088776,0.708877556,,,,,
7712.37,-0.003315453,-0.331545297,,,,,
7704.4,0.001034474,0.103447381,,,,,
7681.07,0.003037337,0.303733725,,,,,
7737.43,-0.007284072,-0.728407236,,,,,
7703.81,0.004364074,0.43640744,,,,,
7703.71,1.29808E-05,0.001298076,,,,,
7765.79,-0.007994035,-0.799403538,,,,,
7633.91,0.017275551,1.72755508,,,,,
7631.33,0.00033808,0.033807999,,,,,
7603.85,0.003613959,0.361395872,,,,,
7627.4,-0.003087553,-0.308755277,,,,,
7556.44,0.009390665,0.939066545,,,,,
7682.27,-0.016379273,-1.637927331,,,,,
7509.84,0.022960542,2.296054243,,,,,
7537.92,-0.003725166,-0.372516556,,,,,
7621.69,-0.010991001,-1.099100068,,,,,
7615.63,0.000795732,0.079573194,,,,,
7636.93,-0.002789079,-0.278907886,,,,,
7547.85,0.011802036,1.180203634,,,,,
7593.29,-0.005984231,-0.598423081,,,,,
7573.09,0.002667339,0.266733922,,,,,
7603.22,-0.003962795,-0.396279471,,,,,
7617.7,-0.001900836,-0.190083621,,,,,
7687.99,-0.009142832,-0.914283187,,,,,
7692.04,-0.000526518,-0.052651832,,,,,
7591.96,0.013182367,1.318236661,,,,,
7651.33,-0.007759435,-0.775943529,,,,,
7661.87,-0.001375643,-0.137564328,,,,,
7600.45,0.0080811,0.808110046,,,,,
7626.33,-0.003393506,-0.339350644,,,,,
7676.28,-0.006507058,-0.650705811,,,,,
7683.97,-0.001000785,-0.100078475,,,,,
7678.79,0.000674585,0.067458545,,,,,
7655.79,0.003004262,0.300426213,,,,,
7709.05,-0.006908763,-0.690876308,,,,,
7658.26,0.006632055,0.66320548,,,,,
7663.17,-0.000640727,-0.064072701,,,,,
7701.31,-0.004952404,-0.49524042,,,,,
7700.85,5.97337E-05,0.005973367,,,,,
7748.76,-0.006182925,-0.618292475,,,,,
7652.91,0.012524647,1.252464749,,,,,
7575.93,0.010161129,1.016112873,,,,,
7659.1,-0.010858978,-1.085897821,,,,,
7663.78,-0.000610665,-0.061066471,,,,,
7718.48,-0.007086888,-0.708688757,,,,,
7776.65,-0.007480085,-0.748008461,,,,,
7741.77,0.00450543,0.450542964,,,,,
7667.01,0.009750868,0.975086768,,,,,
7642.45,0.003213629,0.321362914,,,,,
7611.64,0.004047748,0.404774792,,,,,
7497.87,0.015173643,1.517364265,,,,,
7556.38,-0.007743126,-0.774312568,,,,,
7558.59,-0.000292383,-0.029238257,,,,,
7591.26,-0.004303633,-0.430363339,,,,,
7565.7,0.003378405,0.337840517,,,,,
7574.24,-0.001127506,-0.112750586,,,,,
7563.22,0.001457051,0.145705136,,,,,
7577.49,-0.001883209,-0.188320935,,,,,
7577.49,0,0,,,,,
7617.22,-0.005215814,-0.521581364,,,,,
7563.21,0.007141148,0.714114774,,,,,
7516.03,0.00627725,0.627725009,,,,,
7432.42,0.011249364,1.124936427,,,,,
7504.6,-0.009618101,-0.96181009,,,,,
7457.86,0.006267213,0.626721338,,,,,
7383.28,0.010101202,1.010120163,,,,,
7318.96,0.008788134,0.878813383,,,,,
7277.7,0.005669374,0.566937357,,,,,
7279.3,-0.000219801,-0.021980135,,,,,
7273.54,0.000791912,0.07919115,,,,,
7313.36,-0.00544483,-0.544482974,,,,,
7281.57,0.004365817,0.436581671,,,,,
7304.04,-0.00307638,-0.307637965,,,,,
7302.1,0.000265677,0.0265677,,,,,
7300.23,0.000256156,0.025615631,,,,,
7331.12,-0.004213544,-0.421354445,,,,,
7367.32,-0.004913591,-0.491359137,,,,,
7490.23,-0.016409376,-1.640937595,,,,,
7458.41,0.004266325,0.426632486,,,,,
7507.56,-0.006546734,-0.654673423,,,,,
7511.49,-0.000523198,-0.052319846,,,,,
7545.44,-0.004499406,-0.449940626,,,,,
7510.2,0.004692285,0.469228516,,,,,
7495.67,0.001938452,0.193845247,,,,,
7474.55,0.002825588,0.282558816,,,,,
7510.28,-0.004757479,-0.475747908,,,,,
7418.34,0.012393608,1.239360827,,,,,
7318.54,0.0136366,1.363659965,,,,,
7233.33,0.01178019,1.178018976,,,,,
7237.59,-0.000588594,-0.058859372,,,,,
7145.74,0.012853812,1.28538122,,,,,
7006.93,0.019810388,1.981038772,,,,,
6995.91,0.001575206,0.157520608,,,,,
7029.22,-0.00473879,-0.473879036,,,,,
7059.4,-0.004275151,-0.427515086,,,,,
7054.6,0.000680407,0.068040711,,,,,
7026.99,0.003929136,0.392913609,,,,,
7049.8,-0.003235553,-0.323555278,,,,,
7042.8,0.000993923,0.099392287,,,,,
6955.21,0.012593437,1.259343715,,,,,
6962.98,-0.001115902,-0.111590152,,,,,
7004.1,-0.005870847,-0.587084708,,,,,
6939.56,0.009300301,0.930030146,,,,,
7026.32,-0.012347858,-1.234785777,,,,,
7035.85,-0.001354492,-0.135449164,,,,,
7128.1,-0.012941738,-1.294173763,,,,,
7114.66,0.001889057,0.188905724,,,,,
7094.12,0.002895356,0.289535559,,,,,
7103.84,-0.001368274,-0.136827406,,,,,
7040.68,0.008970724,0.897072442,,,,,
7117.28,-0.010762538,-1.07625385,,,,,
7140.68,-0.003276999,-0.327699883,,,,,
7105.34,0.004973724,0.497372399,2282.5,"2,314.73",1.492,,
7053.08,0.007409529,0.740952889,2236.5,"2,262.33",1.453,,
7053.76,-9.64025E-05,-0.009640249,2229.5,"2,263.01",1.522,,
7033.79,0.002839152,0.283915215,2210,"2,243.04",1.508,,
7038.01,-0.000599601,-0.059960131,2206.5,"2,247.26",1.37,,
7013.88,0.003440321,0.344032119,2219,"2,223.13",1.414,,
7000.89,0.001855478,0.185547837,2185.5,"2,210.14",1.377,,
6947.92,0.007623864,0.762386441,2135.5,"2,157.17",1.385,,
7050.23,-0.014511583,-1.451158331,2245.5,"2,259.48",1.396,,
6960.32,0.01291751,1.291750954,2159.5,"2,169.57",1.428,,
6952.86,0.00107294,0.107293977,2150,"2,162.11",1.382,,
7036,-0.011816373,-1.181637294,2239,"2,245.25",1.41,,
7016.85,0.002729145,0.272914484,2220.5,"2,226.10",1.393,,
7004.52,0.001760292,0.176029193,2203,"2,213.77",1.378,,
7038.95,-0.004891355,-0.489135453,2254,"2,248.20",1.367,,
6980.24,0.008410886,0.841088559,2164.5,"2,189.49",1.367,,
7062.41,-0.011634839,-1.163483853,2273.5,"2,271.66",1.314,,
7022.76,0.005645928,0.564592838,2227,"2,232.15",1.283,,
6921.84,0.014579938,1.457993828,2130,"2,131.23",1.316,,
6704.05,0.032486333,3.248633289,1873.5,"1,913.44",1.244,,
6778.11,-0.01092635,-1.092634968,1991,"1,987.50",1.269,,
6721.54,0.008416226,0.841622604,1930,"1,930.93",1.199,,
6806.94,-0.012546019,-1.254601921,2031,"2,016.33",1.189,,
6880.19,-0.010646508,-1.064650831,2082,"2,089.58",1.278,,
6877.5,0.00039113,0.03911305,2070,"2,086.89",1.293,,
6845.17,0.004723038,0.472303829,2028,"2,054.56",1.242,,
6773.24,0.010619733,1.061973295,1977.5,"1,982.63",1.266,,
6701.59,0.010691493,1.069149262,1909,"1,910.98",1.281,,
6765.94,-0.009510874,-0.951087358,1978.5,"1,975.33",1.273,,
6711.93,0.008046866,0.80468658,1912.5,"1,921.32",1.267,,
6721.17,-0.001374761,-0.137476064,,,,,
6685.99,0.005261749,0.526174882,,,,,
6685.99,0,0,,,,,
6685.99,0,0,,,,,
6584.68,0.015385714,1.53857135,,,,,
6733.97,-0.022169686,-2.216968594,,,,,
6728.13,0.000867997,0.08679975,,,,,
,0.007971076,,,,,,
,0.126536913,,,,,,
